,time,voltage,delp_mmh2o,delp_pa,velocity,di_sig
394,3.94,1.474522,36.21818,355.30035,24.294031,-1.37605
395,3.95,1.664889,41.054836,402.74792,25.865353,0.604796
396,3.96,1.591669,39.194534,384.49838,25.272547,-0.142509
397,3.97,1.518451,37.334286,366.24933,24.665514,-0.907749
398,3.98,1.562383,38.450466,377.19907,25.031511,-0.446366
399,3.99,1.752748,43.287067,424.64615,26.559221,1.479503
400,4.0,1.547739,38.078403,373.54916,24.910109,-0.599407
401,4.01,1.538086,37.833153,371.14322,24.82976,-0.700698
402,4.02,1.518451,37.334286,366.24933,24.665514,-0.907749
403,4.03,1.694336,41.802994,410.08737,26.099966,0.900556
404,4.04,1.738107,42.915085,420.99698,26.444859,1.335334
405,4.05,1.533095,37.706345,369.89923,24.788113,-0.753198
406,4.06,1.547739,38.078403,373.54916,24.910109,-0.599407
407,4.07,1.635601,40.310715,395.44812,25.629875,0.307948
408,4.08,1.708819,42.170963,413.69717,26.214588,1.045049
409,4.09,1.67953,41.42682,406.3971,25.982267,0.752181
410,4.1,1.50381,36.9623,362.60016,24.542328,-1.063041
411,4.11,1.547739,38.078403,373.54916,24.910109,-0.599407
412,4.12,1.591669,39.194534,384.49838,25.272547,-0.142509
413,4.13,1.708984,42.175156,413.73828,26.21589,1.046691
414,4.14,1.67953,41.42682,406.3971,25.982267,0.752181
415,4.15,1.445233,35.474033,348.00027,24.04316,-1.692303
416,4.16,1.513672,37.212864,365.0582,24.625372,-0.958353
417,4.17,1.752748,43.287067,424.64615,26.559221,1.479503
418,4.18,1.67953,41.42682,406.3971,25.982267,0.752181
419,4.19,1.620957,39.938656,391.7982,25.511322,0.158497
420,4.2,1.503906,36.96474,362.62408,24.543139,-1.06202
421,4.21,1.606313,39.566593,388.1483,25.392216,0.008347
422,4.22,1.694174,41.798878,410.047,26.098682,0.898936
423,4.23,1.738107,42.915085,420.99698,26.444859,1.335334
424,4.24,1.474522,36.21818,355.30035,24.294031,-1.37605
425,4.25,1.547739,38.078403,373.54916,24.910109,-0.599407
426,4.26,1.708984,42.175156,413.73828,26.21589,1.046691
427,4.27,1.708819,42.170963,413.69717,26.214588,1.045049
428,4.28,1.417873,34.7789,341.181,23.806425,-1.990738
429,4.29,1.694174,41.798878,410.047,26.098682,0.898936
430,4.3,1.808435,44.70191,438.52573,26.989777,2.022271
431,4.31,1.547739,38.078403,373.54916,24.910109,-0.599407
432,4.32,1.50381,36.9623,362.60016,24.542328,-1.063041
433,4.33,1.577027,38.822525,380.84897,25.152327,-0.294063
434,4.34,1.620957,39.938656,391.7982,25.511322,0.158497
435,4.35,1.805999,44.64002,437.91855,26.971087,1.998709
436,4.36,1.562383,38.450466,377.19907,25.031511,-0.446366
437,4.37,1.562383,38.450466,377.19907,25.031511,-0.446366
