,Time,Voltage
934,4.67,0.644531
935,4.675,0.673828
936,4.68,0.668945
937,4.685,0.639648
938,4.69,0.644531
939,4.695,0.654297
940,4.7,0.634766
941,4.705,0.605469
942,4.71,0.629883
943,4.715,0.65918
944,4.72,0.625
945,4.725,0.629883
946,4.73,0.664062
947,4.735,0.654297
948,4.74,0.644531
949,4.745,0.610352
950,4.75,0.639648
951,4.755,0.639648
952,4.76,0.581055
953,4.765,0.576172
954,4.77,0.629883
955,4.775,0.654297
956,4.78,0.639648
957,4.785,0.634766
958,4.79,0.654297
959,4.795,0.654297
960,4.8,0.625
961,4.805,0.629883
962,4.81,0.625
963,4.815,0.610352
964,4.82,0.585937
965,4.825,0.581055
966,4.83,0.59082
967,4.835,0.605469
968,4.84,0.605469
969,4.845,0.639648
970,4.85,0.649414
971,4.855,0.605469
972,4.86,0.600586
973,4.865,0.605469
974,4.87,0.595703
975,4.875,0.585937
976,4.88,0.600586
977,4.885,0.610352
978,4.89,0.595703
979,4.895,0.625
980,4.9,0.620117
981,4.905,0.615234
982,4.91,0.629883
983,4.915,0.595703
984,4.92,0.566406
985,4.925,0.595703
986,4.93,0.615234
987,4.935,0.59082
988,4.94,0.605469
989,4.945,0.605469
990,4.95,0.571289
991,4.955,0.551758
992,4.96,0.585937
993,4.965,0.615234
994,4.97,0.629883
995,4.975,0.615234
996,4.98,0.600586
997,4.985,0.585937
998,4.99,0.512695
999,4.995,0.498047
1000,5.0,0.556641
1001,5.005,0.605469
1002,5.01,0.585937
1003,5.015,0.576172
1004,5.02,0.595703
1005,5.025,0.566406
1006,5.03,0.551758
1007,5.035,0.551758
1008,5.04,0.566406
1009,5.045,0.541992
1010,5.05,0.50293
1011,5.055,0.551758
1012,5.06,0.600586
1013,5.065,0.595703
1014,5.07,0.581055
1015,5.075,0.556641
1016,5.08,0.517578
1017,5.085,0.473633
1018,5.09,0.463867
1019,5.095,0.517578
1020,5.1,0.59082
1021,5.105,0.629883
1022,5.11,0.625
1023,5.115,0.615234
1024,5.12,0.620117
1025,5.125,0.605469
1026,5.13,0.595703
